"FVHA","Robert Gabriel Mugabe International Airport","ZW",4887
"FLLS","Kenneth Kaunda International Airport Lusaka","ZM",3779
"FACT","Cape Town International Airport","ZA",151
"FAGG","George Airport","ZA",648
"FALE","King Shaka International Airport","ZA",295
"JNB","O R Tambo International","ZA",5558
"FAJS","OR Tambo International Airport","ZA",5558
"FAOR","OR Tambo International Airport","ZA",5558
"BKPR","Priština International Airport","XK",1789
"VVDN","Da Nang International Airport","VN",33
"VVNB","Noi Bai International Airport","VN",39
"VVTS","Tan Son Nhat International Airport","VN",33
"SVBC","General José Antonio Anzoategui International Airport","VE",30
"SVMI","Simón Bolívar International Airport","VE",234
"UTTT","Tashkent International Airport","UZ",1417
"SUMU","Carrasco International /General C L Berisso Airport","UY",105
"KSPI","Abraham Lincoln Capital Airport","US",598
"KABQ","Albuquerque International Sunport","US",5355
"KLTS","Altus Air Force Base","US",1382
"KAVL","Asheville Regional Airport","US",2165
"KAGS","Augusta Regional At Bush Field","US",144
"KAUS","Austin Bergstrom International Airport","US",542
"KGRB","Austin Straubel International Airport","US",695
"KBWI","Baltimore/Washington International Thurgood Marshall Airport","US",146
"KBGR","Bangor International Airport","US",192
"KBAD","Barksdale Air Force Base","US",166
"KBAB","Beale Air Force Base","US",113
"KLIT","Bill &amp; Hillary Clinton National Airport/Adams Field","US",262
"KBIL","Billings Logan International Airport","US",3652
"KBHM","Birmingham-Shuttlesworth International Airport","US",650
"KLEX","Blue Grass Airport","US",979
"KBFI","Boeing Field King County International Airport","US",21
"KBOI","Boise Air Terminal/Gowen Field","US",2871
"KBDL","Bradley International Airport","US",173
"KBUF","Buffalo Niagara International Airport","US",728
"KCVS","Cannon Air Force Base","US",4295
"KBMI","Central Illinois Regional Airport at Bloomington-Normal","US",871
"KCHS","Charleston Air Force Base-International Airport","US",46
"KCLT","Charlotte Douglas International Airport","US",748
"KMDW","Chicago Midway International Airport","US",620
"KORD","Chicago O'Hare International Airport","US",672
"KRFD","Chicago Rockford International Airport","US",742
"KCVG","Cincinnati Northern Kentucky International Airport","US",896
"KCOS","City of Colorado Springs Municipal Airport","US",6187
"KCLE","Cleveland Hopkins International Airport","US",791
"KCAE","Columbia Metropolitan Airport","US",236
"KCBM","Columbus Air Force Base","US",219
"KCRP","Corpus Christi International Airport","US",44
"KDFW","Dallas Fort Worth International Airport","US",607
"KDAL","Dallas Love Field","US",487
"KMSN","Dane County Regional Truax Field","US",887
"PHNL","Daniel K Inouye International Airport","US",13
"KDAB","Daytona Beach International Airport","US",34
"KDEN","Denver International Airport","US",5431
"KDSM","Des Moines International Airport","US",958
"KVPS","Destin-Ft Walton Beach Airport","US",87
"KDTW","Detroit Metropolitan Wayne County Airport","US",645
"KDLF","DLF Airport","US",1082
"KMGE","Dobbins Air Reserve Base","US",1068
"KDOV","Dover Air Force Base","US",24
"KDBQ","Dubuque Regional Airport","US",1077
"KDLH","Duluth International Airport","US",1428
"KDYS","Dyess Air Force Base","US",1789
"KEDW","Edwards Air Force Base","US",2312
"KOMA","Eppley Airfield","US",984
"KERI","Erie International Tom Ridge Field","US",732
"PAFA","Fairbanks International Airport","US",439
"KSKA","Fairchild Air Force Base","US",2461
"KFLL","Fort Lauderdale Hollywood International Airport","US",9
"KFSM","Fort Smith Regional Airport","US",469
"KFWA","Fort Wayne International Airport","US",814
"KAFW","Fort Worth Alliance Airport","US",722
"KFTW","Fort Worth Meacham International Airport","US",710
"KBOS","General Edward Lawrence Logan International Airport","US",20
"KMKE","General Mitchell International Airport","US",723
"KPIA","General Wayne A. Downing Peoria International Airport","US",660
"KIAH","George Bush Intercontinental Houston Airport","US",97
"KROC","Greater Rochester International Airport","US",559
"KGSP","Greenville Spartanburg International Airport","US",964
"KGUS","Grissom Air Reserve Base","US",812
"KGPT","Gulfport Biloxi International Airport","US",28
"KATL","Hartsfield Jackson Atlanta International Airport","US",1026
"KHMN","Holloman Air Force Base","US",4093
"KHSV","Huntsville International Carl T Jones Field","US",629
"KIND","Indianapolis International Airport","US",797
"KJAN","Jackson-Medgar Wiley Evers International Airport","US",346
"KJAX","Jacksonville International Airport","US",30
"KDAY","James M Cox Dayton International Airport","US",1009
"KJFK","John F Kennedy International Airport","US",13
"KCMH","John Glenn Columbus International Airport","US",815
"KSNA","John Wayne Airport-Orange County Airport","US",56
"KADW","Joint Base Andrews","US",280
"KJLN","Joplin Regional Airport","US",981
"KMCI","Kansas City International Airport","US",1026
"KLGA","La Guardia Airport","US",21
"KLFT","Lafayette Regional Airport","US",42
"KLFI","Langley Air Force Base","US",11
"KLAX","Los Angeles International Airport","US",125
"KMSY","Louis Armstrong New Orleans International Airport","US",4
"KSDF","Louisville International Standiford Field","US",501
"KCHA","Lovell Field","US",683
"KLBB","Lubbock Preston Smith International Airport","US",3282
"KLUF","Luke Air Force Base","US",1085
"KMCF","Mac Dill Air Force Base","US",14
"KMHT","Manchester-Boston Regional Airport","US",266
"KMBS","MBS International Airport","US",668
"KLAS","McCarran International Airport","US",2181
"KTCM","McChord Air Force Base","US",322
"KTYS","McGhee Tyson Airport","US",981
"KMEM","Memphis International Airport","US",341
"KOAK","Metropolitan Oakland International Airport","US",9
"KMIA","Miami International Airport","US",8
"KMSP","Minneapolis-St Paul International/Wold-Chamberlain Airport","US",841
"KMOB","Mobile Regional Airport","US",219
"KMLU","Monroe Regional Airport","US",79
"KMGM","Montgomery Regional (Dannelly Field) Airport","US",221
"KMUO","Mountain Home Air Force Base","US",2996
"KBNA","Nashville International Airport","US",599
"KEWR","Newark Liberty International Airport","US",18
"KPHF","Newport News Williamsburg International Airport","US",42
"KORF","Norfolk International Airport","US",26
"KSJC","Norman Y. Mineta San Jose International Airport","US",62
"KONT","Ontario International Airport","US",944
"KMCO","Orlando International Airport","US",96
"KSFB","Orlando Sanford International Airport","US",55
"KPBI","Palm Beach International Airport","US",19
"KPHL","Philadelphia International Airport","US",36
"KPHX","Phoenix Sky Harbor International Airport","US",1135
"KGSO","Piedmont Triad International Airport","US",925
"KPIT","Pittsburgh International Airport","US",1203
"KPDX","Portland International Airport","US",31
"KPWM","Portland International Jetport Airport","US",76
"KMLI","Quad City International Airport","US",590
"KRDU","Raleigh Durham International Airport","US",435
"KRND","Randolph Air Force Base","US",761
"KHIB","Range Regional Airport","US",1354
"KRNO","Reno Tahoe International Airport","US",4415
"KRIC","Richmond International Airport","US",167
"KAMA","Rick Husband Amarillo International Airport","US",3607
"KLCK","Rickenbacker International Airport","US",744
"KROA","Roanoke–Blacksburg Regional Airport","US",1175
"KWRB","Robins Air Force Base","US",294
"KRST","Rochester International Airport","US",1317
"KDCA","Ronald Reagan Washington National Airport","US",15
"KSMF","Sacramento International Airport","US",27
"KSLC","Salt Lake City International Airport","US",4227
"KSAT","San Antonio International Airport","US",809
"KSAN","San Diego International Airport","US",17
"KSFO","San Francisco International Airport","US",13
"KSRQ","Sarasota Bradenton International Airport","US",30
"KSAV","Savannah Hilton Head International Airport","US",50
