”code”,”name”,”elevation_ft”,”iso_country”
”FVHA”,”Robert Gabriel Mugabe International Airport”,4887,”ZW”
”FLLS”,”Kenneth Kaunda International Airport Lusaka”,3779,”ZM”
”FACT”,”Cape Town International Airport”,151,”ZA”
”FAGG”,”George Airport”,648,”ZA”
”FALE”,”King Shaka International Airport”,295,”ZA”
”JNB”,”O R Tambo International”,5558,”ZA”
”FAJS”,”OR Tambo International Airport”,5558,”ZA”
”FAOR”,”OR Tambo International Airport”,5558,”ZA”
”BKPR”,”Pri≈°tina International Airport”,1789,”XK”
”VVDN”,”Da Nang International Airport”,33,”VN”
”VVNB”,”Noi Bai International Airport”,39,”VN”
”VVTS”,”Tan Son Nhat International Airport”,33,”VN”
”SVBC”,”General Jos√© Antonio Anzoategui International Airport”,30,”VE”
”SVMI”,”Sim√≥n Bol√≠var International Airport”,234,”VE”
”UTTT”,”Tashkent International Airport”,1417,”UZ”
”SUMU”,”Carrasco International /General C L Berisso Airport”,105,”UY”
”KSPI”,”Abraham Lincoln Capital Airport”,598,”US”
”KABQ”,”Albuquerque International Sunport”,5355,”US”
”KLTS”,”Altus Air Force Base”,1382,”US”
”KAVL”,”Asheville Regional Airport”,2165,”US”
”KAGS”,”Augusta Regional At Bush Field”,144,”US”
”KAUS”,”Austin Bergstrom International Airport”,542,”US”
”KGRB”,”Austin Straubel International Airport”,695,”US”
”KBWI”,”Baltimore/Washington International Thurgood Marshall Airport”,146,”US”
”KBGR”,”Bangor International Airport”,192,”US”
”KBAD”,”Barksdale Air Force Base”,166,”US”
”KBAB”,”Beale Air Force Base”,113,”US”
”KLIT”,”Bill &amp; Hillary Clinton National Airport/Adams Field”,262,”US”
”KBIL”,”Billings Logan International Airport”,3652,”US”
”KBHM”,”Birmingham-Shuttlesworth International Airport”,650,”US”
”KLEX”,”Blue Grass Airport”,979,”US”
”KBFI”,”Boeing Field King County International Airport”,21,”US”
”KBOI”,”Boise Air Terminal/Gowen Field”,2871,”US”
”KBDL”,”Bradley International Airport”,173,”US”
”KBUF”,”Buffalo Niagara International Airport”,728,”US”
”KCVS”,”Cannon Air Force Base”,4295,”US”
”KBMI”,”Central Illinois Regional Airport at Bloomington-Normal”,871,”US”
”KCHS”,”Charleston Air Force Base-International Airport”,46,”US”
”KCLT”,”Charlotte Douglas International Airport”,748,”US”
”KMDW”,”Chicago Midway International Airport”,620,”US”
”KORD”,”Chicago O'Hare International Airport”,672,”US”
”KRFD”,”Chicago Rockford International Airport”,742,”US”
”KCVG”,”Cincinnati Northern Kentucky International Airport”,896,”US”
”KCOS”,”City of Colorado Springs Municipal Airport”,6187,”US”
